#{"t_start": 1783772626.898836, "env_id": "LunarLander-v3"}
r,l,t
-160.841618,108,1.73408
-89.769967,83,1.746771
-330.288662,95,1.760865
-168.708536,65,1.770783
-88.591785,69,1.78138
-91.99887,121,1.799842
-83.031634,61,1.809387
-125.370868,73,1.821019
-232.813474,110,1.837435
-83.601016,66,1.847344
-260.626047,101,1.862947
-421.862794,110,1.879564
-221.997743,87,1.892547
-316.398788,107,1.908731
-117.73655,88,1.921972
-123.562108,86,1.934761
-93.012812,73,1.945472
-337.837301,149,1.967692
-133.036418,112,1.9842
-280.540352,152,2.006725
-606.390825,107,2.022409
-113.60172,61,2.400385
-213.427138,86,2.413251
-305.580208,122,2.431473
-143.910476,123,2.449779
-77.084019,116,2.466936
-109.845404,71,2.477616
-386.435171,127,2.496423
-328.898124,124,2.514756
-68.889318,75,2.525823
-167.766659,159,2.549477
-252.354974,94,2.563368
-49.700826,75,2.574631
-70.328871,62,2.584082
-111.936611,69,2.594352
-88.497881,69,2.604496
-242.713139,93,2.618449
-334.415896,99,2.632933
-467.698359,95,2.646941
-304.418727,98,2.661379
-309.399116,103,2.676889
-66.503004,78,2.688952
-165.345222,127,3.017841
-19.367605,105,3.033954
-87.133125,77,3.045616
-267.58748,107,3.061652
-122.286965,82,3.074006
-142.214187,84,3.086601
-132.420827,90,3.100277
-84.805274,156,3.123302
-150.575739,94,3.137425
-207.587023,97,3.151886
-92.663047,83,3.164214
-168.744932,113,3.18086
-232.775045,81,3.192717
-124.101845,126,3.211143
-81.770561,63,3.221109
-123.194729,149,3.242993
-132.44588,90,3.256294
-230.781894,65,3.266061
-250.501483,105,3.281557
-152.31868,112,3.298752
-134.420433,78,3.310637
-58.711199,78,3.63769
-79.110901,97,3.652562
-342.210789,117,3.669732
-187.53176,74,3.680694
-108.243573,79,3.692792
-150.364975,132,3.712562
-136.221435,118,3.730052
-123.514154,102,3.745469
-119.832399,138,3.765557
-201.475141,114,3.782012
-288.365228,105,3.797716
-120.484915,107,3.81397
-318.935136,121,3.832139
-103.456021,111,3.849288
22.502263,120,3.867565
-204.689756,136,3.888314
-109.545604,83,3.900821
-89.270289,60,3.909871
-34.526611,128,3.928908
-29.887148,78,4.248012
-89.042325,126,4.26641
-435.71754,135,4.286068
-309.001057,148,4.307478
